,latitude,longitude,power,datetime
13581583,-12.966,141.662,140.3,2020-10-01 00:38:56
13581619,-14.693,144.913,192.5,2020-10-01 00:39:15
13581656,-15.429,142.262,118.5,2020-10-01 00:39:34
13581662,-15.437,142.248,166.4,2020-10-01 00:39:34
13581668,-21.623,149.047,130.5,2020-10-01 00:40:58
13581691,-12.726,135.858,137.5,2020-10-01 00:39:08
13581693,-12.712,135.853,136.7,2020-10-01 00:39:08
13594207,-8.586,121.657,120.2,2020-10-01 02:16:27
13594214,-14.924,131.688,161.7,2020-10-01 02:17:48
13594215,-14.929,131.732,103.0,2020-10-01 02:17:48
13594216,-14.923,131.681,130.7,2020-10-01 02:17:49
13594217,-14.927,131.724,119.1,2020-10-01 02:17:49
13595372,-35.018,150.828,110.8,2020-10-01 03:22:15
13595395,-14.807,144.83,127.2,2020-10-01 03:27:56
13595400,-14.774,144.755,100.6,2020-10-01 03:27:57
13595402,-14.693,144.748,105.3,2020-10-01 03:27:58
13595404,-14.671,144.87,190.7,2020-10-01 03:27:58
13595405,-14.685,144.74,109.8,2020-10-01 03:27:58
13595406,-14.655,144.869,133.7,2020-10-01 03:27:58
13595407,-14.649,144.767,209.6,2020-10-01 03:27:59
13595408,-14.641,144.762,150.0,2020-10-01 03:27:59
13595409,-13.896,143.51,105.0,2020-10-01 03:28:13
13595698,-25.0768,149.6968,114.3,2020-10-01 03:31:33
13599532,-14.7678,144.7701,185.8,2020-10-01 03:34:23
13599843,-14.7702,144.7675,183.5,2020-10-01 03:34:23
13599847,-14.7677,144.77,197.1,2020-10-01 03:34:23
13599852,-14.6914,144.9186,102.0,2020-10-01 03:34:23
13599854,-14.7147,144.7407,122.1,2020-10-01 03:34:23
13599865,-14.6638,144.883,114.8,2020-10-01 03:34:23
13599880,-14.6414,144.7871,131.6,2020-10-01 03:34:23
13599881,-14.6428,144.7767,106.7,2020-10-01 03:34:23
13602118,-15.4131,142.3443,122.9,2020-10-01 04:25:36
13602129,-15.3789,142.2554,183.0,2020-10-01 04:25:36
13602145,-14.7744,144.7665,108.6,2020-10-01 04:25:36
13602150,-14.688,144.907,125.8,2020-10-01 04:25:36
13602152,-14.7096,144.7425,102.7,2020-10-01 04:25:36
13602153,-14.7116,144.7322,135.9,2020-10-01 04:25:36
13602157,-14.6633,144.8796,115.1,2020-10-01 04:25:36
13602162,-14.7116,144.735,148.5,2020-10-01 04:25:36
13602165,-14.6643,144.8829,143.8,2020-10-01 04:25:36
13602186,-14.6315,144.6872,157.5,2020-10-01 04:25:36
13605998,-15.875,135.998,107.7,2020-10-01 05:05:57
13606014,-7.897,138.182,111.2,2020-10-01 05:08:00
13606016,-9.795,123.883,228.7,2020-10-01 05:08:03
13606059,-17.244,122.798,133.8,2020-10-01 05:06:05
13606060,-17.246,122.775,122.8,2020-10-01 05:06:05
13606061,-17.23,122.796,174.2,2020-10-01 05:06:05
13606062,-17.192,122.769,148.3,2020-10-01 05:06:06
13606063,-17.181,122.784,112.6,2020-10-01 05:06:06
13606064,-17.184,122.761,110.6,2020-10-01 05:06:06
13606167,-9.7901,123.8799,107.7,2020-10-01 05:16:49
13606336,-17.2509,122.794,130.4,2020-10-01 05:15:23
13606339,-17.1816,122.8869,159.7,2020-10-01 05:15:23
13606903,-17.2524,122.7962,137.0,2020-10-01 05:15:23
13606906,-17.1801,122.8847,178.1,2020-10-01 05:15:23
13607203,-17.2535,122.776,101.9,2020-10-01 06:06:36
13607211,-17.1826,122.7696,129.9,2020-10-01 06:06:36
13639132,-19.729,147.215,280.0,2020-10-01 23:45:32
13639134,-19.728,147.207,231.1,2020-10-01 23:45:33
13639136,-21.632,149.077,137.3,2020-10-01 23:45:57
13639277,-15.335,142.199,158.6,2020-10-02 01:22:25
13639304,-14.769,135.329,167.4,2020-10-02 01:22:30
13639311,-14.764,131.642,106.7,2020-10-02 01:22:39
13639327,-14.864,125.651,216.7,2020-10-02 01:22:57
13639329,-14.858,125.646,137.5,2020-10-02 01:22:58
13645536,-25.8757,148.7046,184.5,2020-10-02 03:12:36
13645552,-25.2152,148.1369,184.4,2020-10-02 03:12:36
13645553,-25.2164,148.1243,300.9,2020-10-02 03:12:36
13645557,-24.2366,149.5024,114.3,2020-10-02 03:12:36
13645570,-21.642,149.0528,110.4,2020-10-02 03:14:02
13645572,-21.6319,149.0611,268.7,2020-10-02 03:14:02
13645573,-21.633,149.0514,136.7,2020-10-02 03:14:02
